timestamp,block_id,phase_label,l_abd,l_flex,l_er,r_abd,r_flex,r_er
1761183242.9767292,3,abd_up,9.254996717140894,65.36456318653241,0.0,-25.461702808906583,55.08152634439952,-10.803664303289263
1761183243.109768,3,abd_up,9.352959051751343,66.44673690207752,-4.746562116388978,-26.049127098381035,54.9602976683352,0.0
1761183243.21923,3,abd_up,9.349642371668626,66.89227588382207,-5.587814126107642,-26.184473974040827,54.72128797169484,-11.404981703233858
1761183243.34077,3,abd_up,9.792316828958075,66.67264850572256,0.0,-25.593649099330747,54.98762921495902,0.0
1761183243.475392,3,abd_up,8.970534323223514,66.53596201785007,0.0,-26.07237926547342,54.69181349033027,0.0
1761183243.614145,3,abd_up,10.580932262535693,68.17155501751529,0.0,-25.83676344516001,54.35704696832393,-11.806341860447022
1761183243.7476091,3,abd_up,9.541181261301146,66.1227211298554,0.0,-24.39418595662531,54.135909432417535,-12.057728278867888
1761183243.876377,3,abd_up,10.217496284576104,66.80853964994756,0.0,-24.371081359485373,54.126222899140274,0.0
1761183244.017924,3,abd_up,10.356277364763677,67.28936443449152,-5.5034386836880165,-24.95128849014145,54.385339374900255,-11.751977439773244
1761183244.140519,3,abd_up,10.531958993193609,67.60144345938312,0.0,-25.20463602285291,54.4910512712817,0.0
1761183244.3292632,3,abd_up,10.369109389837032,67.52526963033033,0.0,-25.29649544799444,54.56510906519587,-11.654661382834302
1761183244.441983,3,abd_up,9.942289129838525,67.2321275839778,0.0,-25.91516427690107,55.44266152310546,-11.073350562782261
1761183244.575713,3,abd_up,10.361680491965547,67.48014850587795,0.0,-26.594898746621876,56.9837269449544,0.0
1761183244.7101572,3,abd_up,10.1875252736354,67.35934684578054,0.0,-26.578802775907384,56.814462125741365,0.0
1761183244.8426769,3,abd_up,10.953103397865034,67.6963494316162,-6.081117175274618,-26.262516138428776,56.88657209908773,0.0
1761183244.97757,3,abd_up,11.63220408704944,68.20966687723303,0.0,-26.99207712212174,57.87144427696784,-6.40818763951293
1761183245.107021,3,abd_up,10.760337916572459,67.3846337819046,0.0,-27.029559137620772,57.87829403711067,0.0
1761183245.2435892,3,abd_up,11.39172065299082,67.79344569090897,0.0,-26.23107665909324,57.03470771542508,-8.971495973587283
1761183245.38489,3,abd_up,10.191138735417711,66.73728597962814,-4.055341313087434,-25.728927624817388,56.07985977700736,0.0
1761183245.504986,3,abd_up,10.197139874945371,66.63342428772916,0.0,-26.16425844236441,56.739067256030204,0.0
1761183245.644934,3,abd_up,10.025144814634343,66.33317624610093,-3.2030662332731805,-26.48845976090583,57.51240879500148,0.0
1761183245.7753978,3,abd_up,10.9634429482725,66.47373113326961,0.0,-26.08021446334951,58.213596477121214,0.0
1761183245.90978,3,abd_up,11.600272565824207,66.35314225685973,0.0,-24.781134470715557,57.39773181514409,0.0
1761183246.0401332,3,abd_up,13.048696033642658,66.25340051619814,0.0,-22.844853794295208,56.87418990726333,-9.040250808771402
1761183246.176472,3,abd_up,14.142405266277942,66.45791540390624,0.0,-22.492566935971933,57.75308510194037,-6.883480325939761
1761183246.307541,3,abd_up,14.814714206420533,67.16080113652689,0.0,-22.429228774596606,57.62082672617155,0.0
1761183246.443369,3,abd_up,16.77108899405389,68.13041911787235,-6.407005148054505,-21.701858838314998,57.90306749313166,0.0
1761183246.576514,3,abd_up,16.651299546025328,67.56786181103811,0.0,-21.37422801784783,57.98850262379855,0.0
1761183246.705973,3,abd_up,15.508840862305327,66.53501516756229,0.0,-21.39907597722019,57.983798805027256,-5.273499336903862
1761183246.8431869,3,abd_up,14.37494572493604,66.11779952743511,0.0,-21.019129535681227,56.71435475747059,0.0
1761183246.971624,3,abd_up,13.831405560800635,65.59142437042077,0.0,-19.85319994879977,54.94432668259675,0.0
1761183247.107428,3,abd_up,11.877086874478358,63.06969202337916,0.0,-19.334449852867696,54.32260545683491,-10.831786684854574
1761183247.243679,3,abd_up,13.506789766177508,63.55556406217736,0.0,-19.72682259011313,56.80667702295496,0.0
1761183247.3758981,3,abd_up,9.769546265236716,62.59794546351913,-79.9868471266527,-22.8757220481801,56.488229325036684,0.0
1761183247.509008,3,abd_up,9.811029050092019,62.789845608514774,0.0,-23.14810268804791,56.35562902242634,0.0
