frame,time,joint,x_deg,y_deg,z_deg,root_tx,root_ty,root_tz
1,0.033333,mixamorig:RightHandMiddle2,4.121018,-6.349616,65.937868,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandMiddle3,1.115598,-3.782566,32.854573,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandMiddle4,-0.0,0.0,-0.0,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandRing1,6.036404,-6.88842,82.440964,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandRing2,4.121024,-6.349615,65.937861,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandRing3,1.115597,-3.782566,32.854573,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandRing4,0.0,3e-06,1e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandPinky1,6.036408,-6.888423,82.440971,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandPinky2,4.121028,-6.349619,65.937861,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandPinky3,1.115586,-3.782569,32.854596,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightHandPinky4,1e-06,2e-06,2e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftShoulder,1.244137,0.055943,-10.733865,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftArm,-32.274498,-41.60163,-48.833049,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftForeArm,5e-06,-82.002411,-5e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHand,-1.075028,0.515375,26.642628,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandThumb1,18.241726,-23.30528,-17.628949,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandThumb2,53.671613,63.248453,-40.439522,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandThumb3,10.741891,32.760815,-5.296231,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandThumb4,2e-06,4e-06,1e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandIndex1,6.090334,6.83597,-83.384732,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandIndex2,5.535321,6.749093,-78.694557,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandIndex3,1.552534,4.360282,-39.183945,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandIndex4,2e-06,-0.0,0.0,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandMiddle1,6.088413,6.835754,-83.368517,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandMiddle2,5.537222,6.749457,-78.710779,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandMiddle3,1.552546,4.360285,-39.183928,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandMiddle4,-1e-06,-5e-06,-0.0,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandRing1,6.090338,6.83597,-83.384725,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandRing2,5.53532,6.74909,-78.694557,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandRing3,1.552536,4.360281,-39.183945,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandRing4,-1e-06,0.0,-0.0,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandPinky1,10.148459,7.303611,-83.373981,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandPinky2,5.544909,2.664445,-78.811347,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandPinky3,1.552533,4.360282,-39.183938,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftHandPinky4,1e-06,-3e-06,1e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightUpLeg,-69.815742,-4.005175,-3.34032,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightLeg,50.117319,-0.348702,-0.098983,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightFoot,36.340701,3.594701,13.097612,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightToeBase,-9e-06,2e-06,-1e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:RightToe_End,0.0,0.0,0.0,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftUpLeg,-70.080582,-0.532438,14.362392,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftLeg,92.739953,9.745604,0.546719,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftFoot,-6.14407,3.233964,5.735333,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftToeBase,-0.088077,7e-06,1e-06,-0.512158,64.068703,1.342978
1,0.033333,mixamorig:LeftToe_End,-0.0,-0.0,-0.0,-0.512158,64.068703,1.342978
2,0.066666,mixamorig:Hips,-18.314227,-6.78758,-7.748454,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:Spine,6.032836,3.078761,3.739102,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:Spine1,10.920128,0.602347,2.26726,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:Spine2,10.90499,0.66493,2.315405,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:Neck,-4.005069,0.618069,-0.59946,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:Head,-12.188772,1.354064,3.613319,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:HeadTop_End,1e-06,0.0,-0.0,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightShoulder,3.35571,13.656687,10.875218,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightArm,-22.72485,26.924351,21.491762,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightForeArm,-0.000523,83.562658,0.000586,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHand,-7.051577,4.615322,-28.790484,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandThumb1,7.564649,7.028709,27.703724,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandThumb2,-9.818529,-72.226669,-19.70707,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandThumb3,-2.645437,-31.790019,-7.915083,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandThumb4,1e-06,3e-06,1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandIndex1,6.036403,-6.888415,82.440971,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandIndex2,4.121017,-6.349614,65.937868,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandIndex3,1.115602,-3.782567,32.854576,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandIndex4,-0.0,-0.0,-1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandMiddle1,6.036402,-6.88842,82.440964,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandMiddle2,4.121022,-6.349612,65.937868,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandMiddle3,1.115595,-3.782568,32.854573,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandMiddle4,1e-06,-1e-06,-1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandRing1,6.0364,-6.888414,82.440957,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandRing2,4.121019,-6.349612,65.937868,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandRing3,1.115598,-3.782565,32.854573,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandRing4,5e-06,-0.0,4e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandPinky1,6.036405,-6.888419,82.440971,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandPinky2,4.121025,-6.349617,65.937861,-0.507129,64.06868,1.331995
